siren,siret,nom,forme_juridique,code_naf,adresse,code_postal,ville,date_creation
478455793,47845579305205,BOULANGERIES BG (B B G),SAS,10.71C,615 AVENUE DE LA CHAFFINE 13160 CHATEAURENARD,13160,CHATEAURENARD,2004-08-25
403052111,40305211102616,BOULANGERIES PAUL,SAS,10.71A,BATIMENT D.E 344 AVENUE DE LA MARNE 59700 MARCQ-EN-BAROEUL,59700,MARCQ-EN-BAROEUL,1995-12-07
638502963,63850296300082,BOULANGERIE NEUHAUSER,SA,10.71A,18 AVENUE FOCH 57730 FOLSCHVILLER,57730,FOLSCHVILLER,1963-01-01
442843942,44284394200115,LES BOULANGERIES WATRIN,SAS,10.71C,ZAC BELLE FONTAINE 57185 CLOUANGE,57185,CLOUANGE,2002-02-01
394406938,39440693800149,BOULANGERIE AURELIA,SAS,10.71C,519 AVENUE VICTOR HUGO 83600 FREJUS,83600,FREJUS,1994-04-01
789472586,78947258600013,LES BOULANGERIES DE L'EST,SARL,56.10C,ZAC BELLE FONTAINE 57185 CLOUANGE,57185,CLOUANGE,2012-11-15
480065630,48006563000018,BOULANGERIE DAVID,SARL,47.24Z,10 RUE DU MAL DE LATTRE DE TASSIGNY 68730 BLOTZHEIM,68730,BLOTZHEIM,2004-12-22
835334111,83533411100019,LA BOULANGERIE DE PIERRE,SAS,10.71C,CHEMIN DU BATTOIR 38440 SAINT-JEAN-DE-BOURNAY,38440,SAINT-JEAN-DE-BOURNAY,2018-02-09
435089263,43508926300014,BOULANGERIE GHISONI,SAS,10.71C,LOT RAZZETTA CHE DE CARDO 20200 BASTIA,20200,BASTIA,2001-03-16
523440295,52344029500013,MA BOULANGERIE,SARL,10.71C,44 RUE ARMAND CARREL 76000 ROUEN,76000,ROUEN,2010-06-15
789251394,78925139400027,CONNECT (INFORMATIQUE),SAS,62.02A,215 AVENUE DU QUERCY 82200 MALAUSE,82200,MALAUSE,2012-12-01
377574645,37757464500018,INFORMATIQUE,SARL,72.3Z,4 TRAVERSE DU BERTEUIL 84600 VALREAS,84600,VALREAS,1990-02-23
317288389,31728838900529,FIDUCIAL INFORMATIQUE,SAS,62.02A,41 RUE DU CAPITAINE GUYNEMER 92400 COURBEVOIE,92400,COURBEVOIE,1979-01-01
315000943,31500094300862,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE (SII),SA,62.02A,8 RUE DES PIROGUES DE BERCY 75012 PARIS,75012,PARIS,1979-01-01
834173593,83417359300015,DELORME INFORMATIQUE,SAS,47.41Z,13 PLACE BOISLANDRY 61300 L'AIGLE,61300,L'AIGLE,2017-12-19
392398525,39239852500064,IRIS INFORMATIQUE,SAS,46.51Z,PARC DES INDUSTRIES ARTOIS FLANDRES 115 RUE DE LISBONNE 62138 DOUVRIN,62138,DOUVRIN,1993-09-01
320695356,32069535600149,ARC INFORMATIQUE,SAS,58.29C,40 AVENUE PIERRE LEFAUCHEUX 92100 BOULOGNE-BILLANCOURT,92100,BOULOGNE-BILLANCOURT,1981-01-02
330980319,33098031900017,L UNIVERS INFORMATIQUE,SAS,47.41Z,8 RUE GRANDE ETAPE 51000 CHALONS-EN-CHAMPAGNE,51000,CHALONS-EN-CHAMPAGNE,1984-11-02
538592312,53859231200135,BPCE SOLUTIONS INFORMATIQUES,SA cooperative,62.02A,182-188 182 AVENUE DE FRANCE 75013 PARIS,75013,PARIS,2011-12-06
343962726,34396272600067,ITEM INFORMATIQUE,SAS,68.20B,PARC DES TANNERIES 1 RUE DE LA FAISANDERIE 67380 LINGOLSHEIM,67380,LINGOLSHEIM,1988-02-01
531044105,53104410500017,CONSTRUCTION,SARL,43.99C,120 B RUE MAURICE SAMBRON 44160 PONTCHATEAU,44160,PONTCHATEAU,2011-03-01
948531264,94853126400026,CONSTRUCTION,SARL,43.99A,BUREAU 3 5 IMPASSE DE LA COLOMBETTE 31000 TOULOUSE,31000,TOULOUSE,2023-02-01
809293244,80929324400012,CONSTRUCTION,SAS,43.99C,3009 ROUTE DE LA FENERIE 06580 PEGOMAS,06580,PEGOMAS,2015-01-06
753972116,75397211600010,CONSTRUCTION,SAS,74.90A,80 AV D IENA 75016 PARIS 16,75016,PARIS,2012-07-01
438639437,43863943700013,CONSTRUCTION,SARL,47.52A,PRE CHATELAIN 38300 SAINT-SAVIN,38300,SAINT-SAVIN,2001-08-01
301764759,30176475900058,CONSTRUCTION,SAS,47.53Z,Z I DE VAUX 142 AVENUE DU TREMBLAY 60100 CREIL,60100,CREIL,1974-01-01
442621504,44262150400012,CONSTRUCTION (DVM),SARL,45.2V,1257 CHE DEPARTEMENTAL N 8 13119 SAINT-SAVOURNIN,13119,SAINT-SAVOURNIN,2002-07-01
401818778,40181877800029,CONSTRUCTION,SARL,45.2V,5 BD GEORGES CLEMENCEAU 83300 DRAGUIGNAN,83300,DRAGUIGNAN,1995-07-01
316674779,31667477900020,CONSTRUCTION,SARL,79.06,39 RUE SAINT AUBERT 62000 ARRAS,62000,ARRAS,1979-01-01
834157513,83415751300922,SOCOTEC CONSTRUCTION,SAS,71.20B,5 PLACE DES FRERES MONTGOLFIER 78280 GUYANCOURT,78280,GUYANCOURT,2017-12-12
790182786,79018278601529,BUREAU VERITAS CONSTRUCTION,SAS,71.20B,1 PL ZAHA HADID 92400 COURBEVOIE,92400,COURBEVOIE,2012-12-20
382515781,38251578100146,POLYEXPERT CONSTRUCTION,SAS,71.12B,49-51 49 RUE DE PARIS 92110 CLICHY,92110,CLICHY,1991-08-01
445950074,44595007400234,RAMERY CONSTRUCTION,SAS,43.99C,740 RUE DU BAC 59193 ERQUINGHEM-LYS,59193,ERQUINGHEM-LYS,1959-01-01
903869071,90386907100014,APAVE INFRASTRUCTURES ET CONSTRUCTION FRANCE,SAS,71.20B,6 RUE DU GENERAL AUDRAN 92400 COURBEVOIE,92400,COURBEVOIE,2021-09-28
418192316,41819231600044,ALPHA CONSTRUCTIONS,SAS,41.20A,ZA PEP DU BOIS PLAN 33750 BEYCHAC-ET-CAILLAU,33750,BEYCHAC-ET-CAILLAU,1998-03-15
952072635,95207263500016,TRANSPORT,SAS,49.41B,13 PASSAGE CHATEL PLACE JEAN JAURES 76320 CAUDEBEC-LES-ELBEUF,76320,CAUDEBEC-LES-ELBEUF,2023-04-25
991034273,99103427300011,TRANSPORT,EIRL,49.41B,81 AVENUE DE STALINGRAD 13200 ARLES,13200,ARLES,2025-09-05
769800202,76980020201507,HEPPNER SOCIETE DE TRANSPORTS,SAS,52.29B,6 RUE DES CINQUANTE 67720 HOERDT,67720,HOERDT,1969-01-18
790117303,79011730300012,TRANSPORT ET VALORISATION,SAS,49.41B,7 RUE DU DOCTEUR LANCEREAUX 75008 PARIS,75008,PARIS,2012-12-17
775663438,77566343801906,REGIE AUTONOME DES TRANSPORTS PARISIENS (RATP),EPIC,49.31Z,54 QUAI DE LA RAPEE 75012 PARIS,75012,PARIS,1900-01-01
444619258,44461925802482,RTE RESEAU DE TRANSPORT D ELECTRICITE,SA,35.12Z,IMMEUBLE WINDOW 7 PLACE DU DOME 92800 PUTEAUX,92800,PUTEAUX,2002-12-19
451242838,45124283800014,TRANSPORTS BRANGEON,SAS,49.41A,LD LE PELICAN 7 ROUTE DE MONTJEAN 49620 MAUGES-SUR-LOIRE,49620,MAUGES-SUR-LOIRE,2003-11-09
479673980,47967398000062,ALCIS TRANSPORTS,SARL,49.39A,130 ROUTE DE CASTRES 31130 BALMA,31130,BALMA,2004-10-15
410881148,41088114800077,BBL TRANSPORT,SAS,52.29B,P ACT LEONARD DE VINCI 31 AVENUE GRAHAM BELL 77600 BUSSY-SAINT-GEORGES,77600,BUSSY-SAINT-GEORGES,1997-01-01
